time,x,z,mag,evid,tempid
2019-03-15T15:35:50.510000Z,0.177,1.062,2.30170467835,19600,SGC2018yyczk_67417
2019-03-15T16:06:35.300000Z,0.314,0.578,1.9498527187,19601,SGC2018yyczk_34942
2019-03-15T16:55:19.460000Z,0.341,0.228,2.36509312626,19602,SGC2018yyczk_34942
2019-03-15T17:26:23.680000Z,0.11,0.51,2.04804271203,19604,SGC2018yyczk_46457
2019-03-15T18:38:04.660000Z,0.327,0.758,2.75894872322,19606,SGC2018yyczk_55024
2019-03-15T19:11:39.350000Z,0.414,0.934,1.99881638571,19608,SGC2018yyczk_69982
2019-03-15T19:44:31.800000Z,0.307,0.526,2.2434579227,19609,SGC2018yyczk_51041
2019-03-15T20:06:47.490000Z,0.241,0.95,3.35497501712,19610,SGC2018yyczk_69982
2019-03-15T20:56:39.620000Z,0.258,0.376,2.23578645338,19611,SGC2018yyczk_45482
2019-03-15T23:20:17.550000Z,0.202,0.935,2.79287353517,19613,SGC2018yyczk_34942
2019-03-16T01:02:32.330000Z,0.156,0.557,1.90984235149,19616,SGC2018yyczk_34942
2019-03-16T02:49:05.540000Z,0.206,0.69,2.67742758616,19617,SGC2018yyczk_34942
2019-03-16T02:51:14.730000Z,0.234,0.811,1.7652523298,19620,SGC2018yyczk_46457
2019-03-16T04:04:27.090000Z,0.268,0.392,1.68805063618,19621,SGC2018yyczk_34942
